Date,Close
4/26/2016,109.58
4/27/2016,109.69
4/28/2016,109.13
4/29/2016,107.98
4/30/2016,106.31
5/1/2016,106.68
5/2/2016,107.52
5/3/2016,107.63
5/4/2016,107.02
5/5/2016,107.71
5/6/2016,107.27
5/7/2016,108.41
5/8/2016,108.34
5/9/2016,107.94
5/10/2016,108.21
5/11/2016,107.18
5/12/2016,106.52
5/13/2016,105.5
5/14/2016,105.92
5/15/2016,104.32
5/16/2016,105.62
5/17/2016,107.04
5/18/2016,106.56
5/19/2016,106.14
5/20/2016,105.98
5/21/2016,105.51
5/22/2016,105.37
5/23/2016,103.94
5/24/2016,104.8
5/25/2016,104.22
5/26/2016,104.36
5/27/2016,105.57
5/28/2016,105.41
5/29/2016,106.86
5/30/2016,105.71
5/31/2016,106.25
6/1/2016,107.46
6/2/2016,105.63
6/3/2016,103.35
6/4/2016,103.32
6/5/2016,103.59
6/6/2016,103.84
6/7/2016,104.38
6/8/2016,104.29
6/9/2016,105.09
6/10/2016,104.79
6/11/2016,105.75
6/12/2016,106.82
6/13/2016,107.36
6/14/2016,107.09
6/15/2016,107
6/16/2016,106.42
6/17/2016,106.94
6/18/2016,110
6/19/2016,109.96
6/20/2016,109.93
6/21/2016,110.61
6/22/2016,108.67
6/23/2016,109.12
6/24/2016,107.69
6/25/2016,106.35
6/26/2016,106.98
6/27/2016,102.83
6/28/2016,101.35
6/29/2016,101.99
6/30/2016,101.4
7/1/2016,101.51
7/2/2016,102.2
7/3/2016,101.38
7/4/2016,100.7
7/5/2016,101.17
7/6/2016,102.77
7/7/2016,101.5
7/8/2016,101.52
7/9/2016,102.41
7/10/2016,102.56
7/11/2016,102.57
7/12/2016,102.87
7/13/2016,101.2
7/14/2016,101.5
7/15/2016,101.6
7/16/2016,101.5
7/17/2016,97.06
7/18/2016,97.07
7/19/2016,97.09
7/20/2016,97.89
7/21/2016,98.82
7/22/2016,97.9
7/23/2016,98.52
7/24/2016,98.1
7/25/2016,98.43
7/26/2016,99.21
7/27/2016,98.89
7/28/2016,98.6
7/29/2016,99.57
7/30/2016,98.63
7/31/2016,99.24
8/1/2016,98.05
8/2/2016,98.57
8/3/2016,99.86
8/4/2016,100.79
8/5/2016,100.55
8/6/2016,100.11
8/7/2016,100.07
8/8/2016,99.57
8/9/2016,99.58
8/10/2016,98.55
8/11/2016,96.93
8/12/2016,97.38
8/13/2016,98.13
8/14/2016,98.36
8/15/2016,98.25
8/16/2016,99.01
8/17/2016,99.4
8/18/2016,98.7
8/19/2016,98.29
8/20/2016,97.8
8/21/2016,98.56
8/22/2016,98.31
8/23/2016,98.04
8/24/2016,97.81
8/25/2016,99.03
8/26/2016,98.35
8/27/2016,98.64
8/28/2016,100.64
8/29/2016,101.61
8/30/2016,101.18
8/31/2016,102.68
9/1/2016,104.78
9/2/2016,104.74
9/3/2016,103.17
9/4/2016,103.69
9/5/2016,103.6
9/6/2016,103.44
9/7/2016,102.75
9/8/2016,103
9/9/2016,102.74
9/10/2016,102.64
9/11/2016,102.79
9/12/2016,103.41
9/13/2016,105.24
9/14/2016,104.82
9/15/2016,105.25
9/16/2016,110.22
9/17/2016,107.22
9/18/2016,105.46
9/19/2016,105.26
9/20/2016,104.23
9/21/2016,106.83
9/22/2016,107.43
9/23/2016,107.61
9/24/2016,110.57
9/25/2016,111.27
9/26/2016,111.03
9/27/2016,111.81
9/28/2016,109.69
9/29/2016,109.57
9/30/2016,108.67
10/1/2016,108.12
10/2/2016,107.64
10/3/2016,107.77
10/4/2016,107.51
10/5/2016,111.8
10/6/2016,112.28
10/7/2016,112.23
10/8/2016,111.62
10/9/2016,110.02
10/10/2016,109.94
10/11/2016,109.47
10/12/2016,110.99
10/13/2016,112.47
10/14/2016,110.69
10/15/2016,111.97
10/16/2016,110.42
10/17/2016,110.59
10/18/2016,111.1
10/19/2016,110.41
10/20/2016,110.5
10/21/2016,110.55
10/22/2016,112.19
10/23/2016,111.54
10/24/2016,110.11
10/25/2016,108.67
10/26/2016,110.49
10/27/2016,108.7
10/28/2016,104.7
10/29/2016,106.17
10/30/2016,104.76
10/31/2016,101.35
11/1/2016,103.09
11/2/2016,103.39
11/3/2016,104.12
11/4/2016,104.6
11/5/2016,105.18
11/6/2016,106.53
11/7/2016,105.98
11/8/2016,105.05
11/9/2016,105.24
11/10/2016,107.25
11/11/2016,109.81
11/12/2016,104.87
11/13/2016,103.16
11/14/2016,102.57
11/15/2016,102.99
11/16/2016,103.41
11/17/2016,104.94
11/18/2016,103.59
11/19/2016,104.03
11/20/2016,104.73
11/21/2016,105.17
11/22/2016,103.73
11/23/2016,103.9
11/24/2016,103.24
